startDate,count,quote1,quote2,quote3
19840101,2153,"Tanzania Says 20,000 Fled Homes in Uganda",,
19840108,2446,"PHONE NUMBER GONE, BUT NOT FORGOTTEN",,
19840115,2681,SCOUTING,,
19840122,2725,RAISING MONEY FOR ATHLETES,,
19840129,2681,POTLATCH CORP reports earnings for Qtr to Dec 31,,
19840205,2759,HIGH PRICES FOR HEATING OIL PROVOKE CALLS FOR INQUIRIES,,
19840212,2842,GREY ADVERTISING INC reports earnings for Qtr to Dec 31,,
19840219,2643,AMERFORD INTERNATIONAL CORP reports earnings for Qtr to Dec 31,,
19840226,2572,AT THE MOVIES,,
19840304,2564,COLECO INDUSTRIES INC reports earnings for Qtr to Dec 31,,
19840311,2562,;  Texas Investor Blocked On Castle & Cook Tie,,
19840318,2565,KIRBY EXPLORATION CO reports earnings for Qtr to Dec 31,,
19840325,2551,Georgetown's Key Could Be Graham,,
19840401,2602,THE MAN FOR THE MEESE INQUIRY,,
19840408,2734,Kabuki at Japan House,,
19840415,3019,SOUTHERN CALIFORNIA EDISON CO reports earnings for Qtr to March 31,,
19840422,3079,Pope Praises Efforts By Solidarity in Poland,,
19840429,2979,"STREET THEATER, MEDIEVAL STYLE",,
19840506,2762,Amy D. Katz of ABC Weds Bradley Bilgore,,
19840513,2894,BUTTERFIELD EQUITIES reports earnings for Qtr to March 31,,
19840520,2714,"John Moran, 54; Led Building Concern",,
19840527,2388,Millions in Unsecured Loans Tied to Block and Partners,,
19840603,2514,DAIRY MART CONVENIENCE STORES reports earnings for Qtr to April 30,,
19840610,2478," Lotto Winner Faced Loss of Job",,
19840617,2430,Diana Donnelley Becomes a Bride,,
19840624,2366,Paris Recalls Envoy Over Albania Shooting,,
19840701,2243," Cavalier Aide Quits",,
19840708,2467,THE BOOK INDUSTRY'S BEST-SELLING MIDDLEMAN,,
19840715,3017,CALENDAR OF EVENTS: ARCHITECTS ABROAD,,
19840722,3002,PUBLIC SERVICE CO OF COLORADO reports earnings for Qtr to June 30,,
19840729,2866,TAX CHANGES INCREASING SOME RENTS IN FORT GREENE,,
19840805,2693,FRDDAY SPORTS Baseball,,
19840812,2877,U.S. 2d on Goal Differential,,
19840819,2562,Concerns Lose Ruling In School Lunch Case,,
19840826,2410,BALANCING HOUSING NEEDS AND HISTORY,,
19840902,2279,Trying Soccer Again,,
19840909,2475,HOW 'AMADEUS' WASTRANSLATED FROM PLAY TO FILM,,
19840916,2527,LOBBYIST IS NAMED TO HEAD THE H.R.A.,,
19840923,2523,HOW PINKNEY MADE IT,,
19840930,2598,WESTCHESTER JOURNAL,,
19841007,2807,U.S. Promises Signs Won't Be Confiscated,,
19841014,3085,COOPER TIRE & RUBBER CO reports earnings for Qtr to Sept 30,,
19841021,3043,Stanford Acquires Steinbeck Material,,
19841028,3067,POLICE SEAL OFF 2 AREAS AS CROWDS GATHER,,
19841104,2940,AGENT TELLS OF CONFRONTING MATTHEWS,,
19841111,2787,REAGAN AND HIS TOP AIDES CONFER ON HOW TO RESUME ARMS TALKS,,
19841118,2655,Market Place; Strong's Funds Set Basic Goal,,
19841125,2502,HELP FOR FAMILIES OF CANCER PATIENTS,,
19841202,2550,"LABOR PARTY WINS IN AUSTRALIA, BUT MARGIN IS CUT",,
19841209,2548,FENCES SHORTENED IN 'DEATH VALLEY',,
19841216,2422,Burns Reportedly Retiring,,
19850101,1927,"  OPEC FALLS TO HALT FALLING PRICE OF OIL",,
19850108,2152,REVERSAL ON INAUGURAL LISTCORRECTION,,
19850115,2338,BANCORP HAWAII INC reports earnings for Qtr to Dec 31,,
19850122,2434,APPLIED MAGNETICS CORP reports earnings for Qtr to Dec 31,,
19850129,2468,Orange Juice Loss,,
19850205,2370,SUBURBAN AIRLINES reports earnings for Qtr to Dec 31,,
19850212,2409,"  Wings-Stars Marred by Fight",,
19850219,2143,"  Israel MakesHussein an Offer",,
19850226,2190,"  Comings and Goings",,
19850305,2246,BMC INDUSTRIES reports earnings for Qtr to Dec 31,,
19850312,2305,"  Czechs Said to Detain 11 After Raid on Home",,
19850319,2239,"  Draft Resisters LoseThe free speech of 18 avowed resisters to draft registration was not violated, the Court said in another 7-to-2 opinion, when they were singled out for prosecution.",,
19850326,2106,"  A Healthy Birth Isn't 'Wrongful'",,
19850402,2242,BLENDING HIGH TECH AND SOFT SELL ON COAST,,
19850409,2200,"CREDIT MARKETS ;

Yields Are Little Changed",,
19850416,2668,MICRO BIO-MEDICS INC reports earnings for Qtr to March 31,,
19850423,2619,STANDARD OIL CO OF OHIO reports earnings for Qtr to March 31,,
19850430,2668,HERS,,
19850507,2400,"  7 Indians Killed In Hindu-Moslem Riots",,
19850514,2667,"  NIKE STRUGGLES TO HIT ITS STRIDE AGAIN",,
19850521,2210,Rent Control Forever,,
19850528,2102,"WHAT'S NEW IN SPECIAL INTEREST MAGAZINES;

RACING TO REACH THE OVER-50 MARKET",,
19850604,2166,ENERGY-POOR BULGARIA TURNS TO ATOM POWER,,
19850611,2178,TAX EFFECT ON FAMILY ASSESSED,,
19850618,2231,CYNTHIA PURCELL AND GEORGE TRAPNELL ARE MARRIED,,
19850625,2152,Bill to Curb Takeovers Fought,,
19850702,1876,"  Pinning Blame In South Africa",,
19850709,2018,NATIONAL COMMERCE BANCORPORATION reports earnings for Qtr to June 30,,
19850716,2450,BAXTER TRAVENOL LABORATOIES INC reports earnings for Qtr to June 30,,
19850723,2718,"  Restoration of Funds In Head Research Asked",,
19850730,2306,JOHN RUBINSTEIN'S LIFE IS A MULTIMEDIA EVENT,,
19850806,2218,OPERA: NEW PRODUCTION OF 'NORMA',,
19850813,2599,"  . . . Word of Warning",,
19850820,2314,MANCINI TRADES IN GLOVES FOR ACTING,,
19850827,2074,"  SUMMER SEATING",,
19850903,2103,"  THE FAMILY FARM",,
19850910,2214,LOSS OF GENE DIVERSITY IS THREAT TO CHEETAHS,,
19850917,2302,Burger Says Delays Reduce Deterrent of Death Sentence,,
19850924,2301,"  TRUMAN EDGES LEHMAN",,
19851001,2206,"  BEDFELLOWS;   Pardon His French",,
19851008,2210,A CENTURY OF OPERATIC GLORIES POURS FORTH,,
19851015,2715,LOTUS DEVELOPMENT CORP reports earnings for Qtr to Sept 28,,
19851022,2878,"  Decision on Bartkowski",,
19851029,2742,"BIOTECHNOLOGY MAY AID FARMING, EXPERT SAYS",,
19851105,2437,REAGAN NOMINATES HEALTH SECRETARY,,
19851112,2549,WILLIAM B. SHEALY,,
19851119,2479,"In Chile, a Show of Hands",,
19851126,2108,BANK OPENS IN CHINA,,
19851203,2274,"  Grateful Grads",,
19851210,2208,Faster Test Found For Sickle Cells,,
19851217,2248,Spaniards Pick the Winners In Lottery Worth $406 Million,,
19860101,1909,ROCK: JOE JACKSON IN A PRE-ALBUM CONCERT,,
19860108,2108,Philharmonic Brass At Holy Trinity,,
19860115,2470,Panel on Needs of Blacks,,
19860122,2690,STORM AROUND KOCH,,
19860129,2626,Cable TV,,
19860205,2442,WOODSIDE PLANT TURNED INTO CONDOMINIUMS UNITS,,
19860212,2426,Doctors v. Lawyers: 'A Real Nasty Fight',,
19860219,2564,"FROM THE ORIENT, 2 CUISINES IN ONE",,
19860226,2392,Babbitt Etches in Acid,,
19860305,2271,"Ken Yasui, Tokyo Politician; Led Upper House in 1977-80",,
