startDate,count,quote1,quote2,quote3
19840101,66,STUDY SAYS CITY'S PSYCHIATRIC SERVICE ARE IN CRISIS,,
19840108,51,SURINAME'S CABINET IS OUSTED,,
19840115,53,THE NEXT LATIN DEBT CRISIS,,
19840122,56,BANKRUPTCY COURT CRISIS NEAR,,
19840129,66,BOOKS OF THE TIMES,,
19840205,95,SHULTZ IS GLOOMY ON LEBANON CRISIS,,
19840212,82,ECLIPSING LEBANON,,
19840219,72,ALVARADO SAYS SCHOOLS NEED REPAIRS,,
19840226,69,ANGOLA-SOUTH AFRICA CRISIS RESOLVED,,
19840304,66,GREECE DROPS PROTEST ON TURKISH SHELLING,,
19840311,64,MORE MOVES DUE IN LILCO CRISIS,,
19840318,58,"IN BRAZIL, INSIDER RUNS AS AN OUTSIDER",,
19840325,72,Coming Unstuck in Europe,,
19840401,78,Latins Help End Argentine Crisis,,
19840408,65,Prime Minister Resigns In Peru Over Policies,,
19840415,53,EMBARRASSMENT OF RICHES,,
19840422,66,"DESPITE POLLS, MITTERRAND IS FIRM ON ECONOMY",,
19840429,78,AN IMPROVED HOT LINE: HOW THE 2 SIDES DIFFER,,
19840506,72,The Debt Doctors Confer,,
19840513,85,BORROWERS AND LENDERS HUNT SOLUTION TO LATIN DEBT CRISIS,,
19840520,79,CALM MARKETS FAIL TO RECOVER FULLY,,
19840527,68,EUROPEANS TO ASK DEBT RESCUE MOVE,,
19840603,72,REAGAN TO OFFER PLAN FOR COPING WITH OIL CRISIS,,
19840610,63,VOLCKER PLAYS DOWN ARGENTINA'S DEADLINE,,
19840617,65,VENEZUELA CONFIDENT ON DEBT,,
19840624,57,HOPS AWAY FROM CRISIS,,
19840701,47,BRAZILIAN DEBT CRISIS DAMPENS A CORNER OF NEW YORK,,
19840708,38,ASAT'S AND SECURITY,,
19840715,59,The Stakes in the Hospital Strike,,
19840722,46,TALKING FASTER WITH MOSCOW,,
19840729,44,EFFORTS TO MEET LANDFILL DEADLINE LAG,,
19840805,48,"REPORTER'S NOTEBOOK: FOR DALLAS, A GROWING CULTURAL IDENTITY CRISIS",,
19840812,49,FREED SOLIDARITY FIGURE ASSAILS AMNESTY,,
19840819,61,K. J. Mayer Wed To Miss Danforth,,
19840826,49,NEWS SUMMARY;,,
19840902,58,A LOOK AT SCHOOLS IN U.S.,,
19840909,68,NICARAGUAN PREDICTS A 'CRISIS' IF SANDINISTAS STAY IN POWER,,
19840916,74,Nurses Group Backs 'Ailing' Mondale Ticket,,
19840923,63,LATIN DEBT: POSTPONING THE BURDEN,,
19840930,58,The Governor's Provincial Promise Governor Cuomo's decision to close the prison at Pilgrim State Hospital on Long Island won't force any immediate crisis in the state correctional system. Prison expansion plans are on schedule with more than enough new cells opening elsewhere to accommodate the 500 prisoners there. But it's still a troubling decision. So clear a victory for the prison's opponents can only complicate future efforts to find sites for other unpopular but necessary facilities.,,
19841007,65,SPORTS STUDY VOTED BY N.C.A.A. GROUP,,
19841014,63,EUROPE SEEMS LESS WORRIED ABOUT NATO'S NEW MISSILES,,
19841021,65,"Drive Now, Pay Later",,
19841028,79,RESHAPING O.E.C.D.'S OIL-SHARING PLAN,,
19841104,63,NORTHEAST FACES CRISIS ON RADIOACTIVE WASTE,,
19841111,86,What Background?,,
19841118,58,SENATE REPORT IS PESSIMISTIC ON ISRAEL'S ECONOMIC PLIGHT,,
19841125,65,Pass the Prayer Book,,
19841202,76,"Drop Dead, Again ''My heart will not break,'' says Treasury Secretary Donald Regan, if New Yorkers lose the right to deduct billions in state and local taxes from their taxable incomes. His remark was not as callous as it sounds; he was talking about upper-income taxpayers. But the policy he proposes is callous. Indeed, it would be far more devastating than Washington's refusal to help during the 1975 fiscal crisis, which prompted the famous Daily News headline ''Ford to City: Drop Dead.''",,
19841209,70,RAPE 'HELP-LINE',,
19841216,53,SMALL STEPS IN ISRAEL,,
19850101,40,EXCERPTS FROM STATE OF THE STATE MESSAGE THAT KEAN IS TO DELIVER,,
19850108,49,EXCERPTS FROM STATE OF THE STATE MESSAGE THAT KEAN IS TO DELIVER,,
19850115,57,ARTS CENTER FACING CRISIS,,
