startDate,count,quote1,quote2,quote3
19840101,67,DIRECTOR OF 92D ST. Y NAMED A.T.& T. FOUNDATION,,
19840108,53,KEY SECTIONS FROM STUDY OF LATIN REGION BY KISSINGER PANEL,,
19840115,55,CRAFTS COMMUNITY CONFRONTS A CRISIS,,
19840122,56,MOVING FROM STANDOFF TO AN INTERIM ACCORD,,
19840129,67,HOUSE DEMOCRATS DRAFT RESOLUTION ON BEIRUT PULLOUT,,
19840205,98,SHULTZ IS GLOOMY ON LEBANON CRISIS,,
19840212,82,GEMAYEL EXPRESSES ASSURANCE THE U.S. SUPPORTS HIM FULLY,,
19840219,72,EUROPEANS GAIN LITTLE IN TALKS,,
19840226,69,"BUSINESS FORUM;
THE PLAGUE OF SPECIAL INTEREST GROUPS",,
19840304,67,"BUSINESS FORUM;
THE PLAGUE OF SPECIAL INTEREST GROUPS",,
19840311,65,MORE MOVES DUE IN LILCO CRISIS,,
19840318,58,DEBT ACCORD SOUGHT,,
19840325,74,U.S. YOUTHS SEE NO EDUCATION CRISIS,,
19840401,78,No Headline,,
19840408,65,COMMON MARKET FAILS TO RESOLVE CRISIS,,
19840415,54,THE WIZARDRY OF OZ,,
19840422,66,Hindu Priest Killed in Punjab,,
19840429,78,CROCKER'S LOAN CRISIS,,
19840506,72,DUTCH UNREADY TO FULFILL MISSILE PLAN,,
19840513,86,BORROWERS AND LENDERS HUNT SOLUTION TO LATIN DEBT CRISIS,,
19840520,81,ARGENTINA IS REPORTED CLOSE TO PACT ON DEBT,,
19840527,68,"THE DEBT CRISIS: NOT ALL BLEAK;
NEW FUNDAMENTALS HAVE BOUGHT TIME",,
19840603,73,"A LOOK AT THE PARTICIPANTS AND THEIR POLICIES Britain Margaret Thatcher . . . 58 . . . Prime Minister since 1979, This year's summit host . . . Though still popular personally, her Conservative Party has begun to slip in the polls . . . With growth projected at about 3 percent and inflation under control at 5 percent, Britain's economy is recovering faster than most in Europe, but unemployment still remains at near-record 10 percent level . . . Has set off a crisis in the European Economic Community with demands that Britain be allowed to reduce its financing of the bloc . . . Considered blunt and strong-willed.",,
19840610,64,Financial Plan for Fair Proposed by Governor,,
19840617,67,11 LATIN NATIONS PLAN TO CONSULT REGULARLY ON REGION'S DEBT CRISIS,,
19840624,59,REFORM FEDERAL DEPOSIT INSURANCE,,
19840701,48,STUDY SHOWS 20% DROP IN SUPERMARKETS IN CITY,,
19840708,39,CRIME,,
19840715,59,MEDICAL MALPRACTICE COST DEBATED AT HEARING,,
19840722,46,No Headline,,
19840729,44,HIJACKERS ASKING IRAN FOR ASYLUM,,
19840805,48,BUSINESS PEOPLE ; International Chief At Bank of America,,
19840812,49,BRAZIL'S HARD LIFE WITH AUSTERITY,,
19840819,61,MANILA'S ECONOMY: SIGNS OF ANGUISH EVERYWHERE,,
19840826,51,THE CRISIS OF COMING HOME,,
19840902,60,A LOOK AT SCHOOLS IN U.S.,,
19840909,68,NICARAGUAN PREDICTS A 'CRISIS' IF SANDINISTAS STAY IN POWER,,
19840916,75,"Help for Anemic Africa The global recession is over for most of the industrial world. Not for Africa. In the vast sweep of poor nations south of the Sahara, anemic levels of output and income continue to shrink. And a drought of historic severity, the worst of this century in parts of eastern Africa, explains only a part of the crisis.",,
19840923,64,"Dr.EdwardJ.Hornick, A Clinical Psychiatrist",,
19840930,58,ISRAELIS RULE OUT U.S. AID AS STOPGAP,,
19841007,65,EUROPE SEEMS LESS WORRIED ABOUT NATO'S NEW MISSILES,,
19841014,64,HEAVY CASELOADS ARE SAID TO ENDANGER CHILDREN,,
19841021,66,French Car Cuts Urged,,
19841028,80,"India Without Indira Gandhi It very nearly happened in Brighton two weeks ago, in Rome and in Washington three years before. This time, in New Delhi, assassins claimed a world leader, Indira Gandhi, and forced a new crisis for India's democracy. The Prime Minister's immense authority was chiefly personal, and she leaves no real successor.",,
19841104,65,NORTHEAST FACES CRISIS ON RADIOACTIVE WASTE,,
19841111,87,MIDTOWN 'GRIDLOCK BUSTERS' HAND OUT $45 TICKETS,,
19841118,62,Bishops TackleThe Economy,,
19841125,68,ETHIOPIAN ANSWER TO CRISIS RAISES NEW QUESTIONS,,
19841202,76,"RABBIS LEARN, AND TEACH, OF FAMILIES IN CRISIS",,
19841209,165,U.S. OFFICIALS 'VERY PLEASED' AT END OF HIJACKING IN TEHERAN,,
19850101,41,PANEL FAVORS CUT IN NEW YORK DEBT,,
19850108,50,"ARTS AGENCY FACES 11.7% BUDGET CUT, U.S. OFFICIALS SAY",,
19850115,58,IDEAS & TRENDS;,,
19850122,35,"REBELS SAY DUARTE, PRESSED BY RIGHT, SHUNS TALKS",,
19850129,44,NEW CASSETTES: FROM MODERN DANCE TO DIANA ROSS,,
19850205,53," $14,500 FOR TEACHERS AIN'T PAY",,
19850212,65,KENNEDY AIDES TO ATTEND CONFERENCE ON 60'S,,
19850219,53,FAILURE OF PLAN FOR HOMELESS REFLECTS CITY HOUSING CRISIS,,
