startDate,count,quote1,quote2,quote3
19840101,669,NEW CENTER SET UP FOR HOMOSEXUALS,,
19840108,701,TELEVISION WEEK,,
19840115,696,IOWA CONTEST REFLECTS PARTIES' HOPES,,
19840122,646,TRANSCRIPT OF MESSAGE BY PRESIDENT ON THE STATE OF THE UNION,,
19840129,702,U.S. AIDE CAUTIONS AGAINST HIGH HOPES IN SOVIET ARMS TALKS,,
19840205,784,VOLCKER DISCERNS HOPE ON DEFICITS,,
19840212,762,Topics Rose's Turn / Not Cyclamen,,
19840219,710,WEEKEND VISITS: A CLASH OF HOPE AND REALITIES,,
19840226,706,METS HELP MARTIN TAKE 'FIRST STEP',,
19840304,729,REAGAN TELLS CITIES HIS POLICY IS THEIR BEST HOPE,,
19840311,724,Harvester's Hopes,,
19840318,724," Bad News for Burleson",,
19840325,735,KIN OF ISRAELIS LOST IN BATTLE CLING TO HOPE,,
19840401,758,MUBARAK HOPES TO RESTORE MOSCOW TIES,,
19840408,792,WORLD COURT EVASION,,
19840415,748,ENRICHMENT PROGRAM TO HELP MINORITIES ENTER PREP SCHOOLS,,
19840422,750,STRUGGGLING ORIOLES HOPE FOR FRESH START,,
19840429,791,HART PINS HOPES ON COMPUTER IN TEXAS,,
19840506,741,MOTOR CITY: OUTBREAK OF TIGER FEVER,,
19840513,777,Jackson Hopes to Go To Soviet on Olympics,,
19840520,740,CELTICS HOPE TO EXTEND TITLE-ROUND DOMINANCE OVER LAKERS,,
19840527,721,"FOR LEBANESE, EVEN HOPE FOR HOPE HAS VANISHED",,
19840603,747,SOAP OPERA BOUFFE,,
19840610,717," Miss Jaeger Sidelined",,
19840617,726,CAMPAIGN HOPES TO REGISTER 2 MILLION NEW REAGAN VOTERS,,
19840624,724,REAGAN GRANTS HASIDIM 'DISADVANTAGED' STATUS,,
19840701,722,LEARNING TO SERVE BY SITTING,,
19840708,712," A Real Grabber Hayward (Calif.) State, whose athletic teams now are called the Pioneers, is considering a nickname that will grab the fans by the throat: the Vampires. ''We'd be going from the comatose, nondescript Pioneers to an active, aggressive mammal that strikes fear into the heart,'' said",,
19840715,762,";  Breland's Conqueror How do you beat Mark Breland, America's brightest Olympic boxing hope? Only Daryl Anthony knows for sure.",,
19840722,745,POLAND WOOS THE WEST AND HOPES FOR BENEFITS,,
19840729,740,GYMNASTICS: HOPES FOR U.S. ARE HIGH,,
19840805,752,"HIROSHIMA, MONUMENT TO HOPE",,
19840812,757,RAIN OVER WEST TEXAS REVIVES GRASS AND HOPE,,
19840819,752,Hope P. Amory Becomes a Bride,,
19840826,732,PINOCHET COMEBACK DIMS CHILE'S HOPE FOR CHANGE,,
19840902,719,Hope Harris Married To Mark David Lewis,,
19840909,748,A FLAWED SCIENCE SHOWPLACE,,
19840916,759,SCOUTING ;,,
19840923,738,KENNELY'S G.O.P. CHALLENGER HOPES 2d TIME AROUND IS BETTER,,
19840930,759,"PEOPLE;
HOPE FOR AUBURN",,
19841007,811,JOURNAL HOPES TO TRADE NEW IDEAS WITH CHINA,,
19841014,798,Nazi Bomb Upstages Bob Hope in Britain,,
19841021,742,HOPE FOR STABLE FOOD PRICES APPEARS BRIGHTER,,
19841028,792,Hope for John Henry,,
19841104,827,Jets Hope to End Skid at Two,,
19841111,796,RUTGERS BOWL HOPES DIM,,
19841118,753,MORE TRANSPLANTS PREDICTED,,
19841125,749,"No Recovery for the Neediest As New York City prepares for the holiday season of feasting and good cheer, the plight of its homeless grows worse. The weather turns cold, and people with nowhere else to go flood into city shelters in record numbers. Children of homeless families, hoping for places in crowded hotels, end up spending the night on welfare office floors. Any thoughts of 10-speed bicycles or Cabbage Patch dolls are pushed aside by needs of basic survival - a warm room, a decent meal, a comfortable bed.",,
19841202,746,NEW YORK DAY BY DAY ; Teaching the Language,,
19841209,1803,TEEN-AGE SUICIDE EXPLORED,,
19850101,537,WEATHER MELTS RESORTS' HOPES,,
19850108,553,"LONG ISLAND OPINION;

HOPING (IN VAIN) TO EMPTY THE NEST",,
19850115,547,SLOPES HOPE TO RECOUP,,
