Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12
5	Christian Adams	sales manager	  German Wine Fund	S-68	0	36	64	161	90		
6	Samantha L. Lightbourn-Allen	analyst	  U.S. Army	S-76	0	72	157	299	183		
7	Paul W. Ambrose	strategic development and software engineer	  Cantor Fitzgerald	S-70	0	384	64	513	90		
8	Craig Scott Amundson	illustrator	  U.S. Army	S-74	0	53	126	228	152		
9	Melissa Rose Barnes	yeoman second class	  U.S. Navy	S-72	0	104	95	254	121		
10	Lorraine G. Bay	flight attendant	  United Airlines	S-67	0	211	95	330	121		
11	Todd M. Beamer	account manager	  Oracle Corp.	S-68	0	128	157	250	183		
12	Alan Anthony Beaven	environmental lawyer	S-67	0	718	33	759	59			
13	Max J. Beilke	null	S-1	1	72	95	168	121			
14	Yeneneh Betru	null	S-69	0	638	95	750	121			
15	Mark Bingham	owner	  The Bingham Group	S-67	0	634	64	745	90		
16	Kris Romeo Bishundat	information systems technician	  U.S. Navy	S-72	0	440	33	605	59		
17	Carrie Rosetta Blagburn	analyst	  U.S. Army	S-1	0	7	64	192	90		
18	Deora Frances Bodley	university student	  Santa Clara (Calif.) University	S-68	0	318	95	485	121		
19	Canfield D. Boone	U.S. Army	S-74	0	443	95	583	121			
20	Mary Jane Booth	secretary	  American Airlines	S-69	0	6	95	138	121		
21	Donna M. Bowen	Pentagon communications representative	  Verizon	S-75	0	454	95	586	121		
22	Allen P. Boyle	defense department contractor	  U.S. Defense Department	S-73	0	646	126	755	152		
23	Sandy Waugh Bradshaw	flight attendant	  United Airlines	S-67	0	6	95	191	121		
24	Marion R. Britton	assistant director	  U.S. Census Bureau	S-67	1	312	64	450	90		
25	Bernard C. Brown II	student	  Leckie Elementary School (Washington)	S-70	2	395	126	546	152		
26	Christopher L. Burford	null	S-71	0	563	157	739	183			
27	Charles F. Burlingame III	null	S-69	0	5	64	188	90			
28	Thomas E. Burnett	 Jr.	null	S-68	0	195	64	360	90		
29	Daniel M. Caballero	electronics technician	  U.S. Navy	S-72	0	557	64	710	90		
30	Jose O. Calderon-Olmedo	null	S-74	0	269	126	460	152			
31	Suzanne M. Calley	null	S-71	0	246	126	386	152			
32	Angelene C. Carter	accountant	  U.S. Army	S-76	1	450	126	594	152		
33	Sharon Ann Carver	civilian employee	  U.S. Army	S-1	0	553	126	702	152		
34	William Joseph Cashman	construction worker	S-68	1	279	157	460	183			
35	William E. Caswell	physicist	  U.S. Navy	S-70	0	485	95	626	121		
36	John J. Chada	civilian employee	  U.S. Army	S-1	0	321	33	428	59		
37	Rosa Maria Chapa	civilian employee	  Defense Intelligence Agency	S-71	1	536	95	674	121		
38	David M. Charlebois	first officer	  American Airlines	S-69	0	155	33	307	59		
39	Sara M. Clark	teacher	  Backus Middle School (Washington)	S-70	1	130	126	237	152		
40	Julian T. Cooper	Navy contractor	S-73	1	401	95	527	121			
41	Georgine Rose Corrigan	antiques and collectibles dealer	S-68	0	549	126	731	152			
42	Asia S. Cottom	student	  Backus Middle School (Washington)	S-70	3	260	126	375	152		
43	Eric A. Cranford	U.S. Navy	S-72	0	549	126	678	152			
44	Patricia Cushing	retiree	S-67	1	347	126	475	152			
45	Jason M. Dahl	captain	  United Airlines	S-67	0	8	64	119	90		
46	Ada M. Davis	null	S-75	2	323	33	424	59			
47	James D. Debeuneure	teacher	  Ketcham Elementary School (Washington)	S-70	1	23	95	174	121		
48	Gerald F. DeConto	director	  U.S. Navy	S-72	0	182	64	327	90		
49	Joseph DeLuca	systems business consultant	  Pfizer Inc.	S-68	1	13	95	125	121		
50	Rodney Dickens	student	  Ketcham Elementary School (Washington)	S-70	2	195	95	315	121		
51	Jerry D. Dickerson	null	S-74	0	502	126	640	152			
52	Eddie A. Dillard	AA Flight 77	S-70	0	337	95	459	121			
53	Johnnie Doctor	 Jr.	information systems technician first class	  U.S. Navy	S-72	0	3	126	151	152	
54	Robert E. Dolan	 Jr.	senior vice president of financial markets	  Euro Brokers Inc.	S-73	2	424	33	572	59	
55	William H. Donovan	Marsh & McLennan Cos. Inc.	S-73	1	40	33	195	59			
56	Patrick Joseph Driscoll	research director	  Bell Communications	S-68	1	486	157	661	183		
57	Charles A. Droz III	vice president	  EM Solutions Inc.	S-70	0	19	33	159	59		
58	Patrick Dunn	surface warfare officer	  U.S. Navy	S-72	0	649	33	754	59		
59	Edward T. Earhart	Aerographer's mate	  U.S. Navy	S-72	0	232	157	376	183		
60	Barbara G. Edwards	teacher	  Palo Verde High School	S-70	1	530	64	682	90		
61	Robert R. Elseth	null	S-73	0	483	64	607	90			
62	Charles S. Falkenberg	research director	  ECOlogic Corp.	S-69	3	569	126	732	152		
63	Dana Falkenberg	AA Flight 77	S-69	3	414	157	544	183			
64	Zoe Falkenberg	AA Flight 77	S-69	3	550	157	668	183			
65	Jamie L. Fallon	storekeeper third class	  U.S. Navy	S-72	0	34	64	147	90		
66	Edward P. Felt	technology director	  BEA Systems	S-68	0	414	126	528	152		
67	J. Joseph Ferguson	educational outreach director	  National Geographic Society	S-69	0	612	33	752	59		
68	Amelia V. Fields	civilian employee	  U.S. Army	S-75	0	571	126	689	152		
69	Gerald P. Fisher	consultant	  Booz-Allen & Hamilton Inc.	S-75	2	3	64	124	90		
70	Darlene E. Flagg	housewife	S-70	1	486	33	614	59			
71	Wilson F. Flagg	retired Navy Admiral and pilot	  American Airlines	S-70	2	627	33	751	59		
72	Matthew M. Flocco	Aerographer's mate	  U.S. Navy	S-72	0	33	157	185	183		
73	Jane C. Folger	retiree	S-67	1	507	126	617	152			
74	Sandra N. Foster	civilian employee	  Defense Department	S-71	0	587	126	718	152		
75	Colleen L. Fraser	chairwoman	  New Jersey Developmental Disabilities Council	S-68	0	600	64	731	90		
76	Richard Peter Gabriel	insurance broker	  Aon Corp.	S-70	0	308	33	469	59		
77	Andrew Sonny Garcia	salesman	S-68	0	518	95	684	121			
78	Lawrence D. Getzfred	null	S-72	0	237	33	400	59			
79	Cortez Ghee	civilian employee	  U.S. Army	S-75	0	179	95	277	121		
80	Brenda C. Gibson	civilian employee	  U.S. Army	S-1	0	226	64	357	90		
81	Jeremy Logan Glick	UA Flight 93	S-67	0	571	157	716	183			
82	Ronald F. Golinski	null	S-75	0	559	157	701	183			
83	O. Kristin Osterholm White Gould	null	S-68	0	147	33	402	59			
84	Lauren Catuzzi Grandcolas and her unborn child	null	S-68	0	34	126	399	152			
85	Ian J. Gray	president	  McBee Associates	S-71	1	219	95	302	121		
86	Wanda Anita Green	flight attendant	  United Airlines	S-67	0	6	157	156	183		
87	Donald Freeman Greene	vice president	  Safe Flight Instrument Corp.	S-67	0	179	157	358	183		
88	Linda Gronlund	environmental compliance	  BMW	S-68	1	158	95	285	121		
89	Richard J. Guadagno	manager	  Humboldt Bay National Wildlife Refuge	S-67	0	526	33	686	59		
90	Diane Hale-McKinzy	civilian employee	  U.S. Army	S-1	0	454	33	604	59		
91	Stanley R. Hall	director	  Raytheon Co.	S-70	0	177	33	294	59		
92	Carolyn B. Halmon	analyst	  U.S. Army	S-75	0	569	64	716	90		
93	Michele M. Heidenberger	flight attendant	  American Airlines	S-69	0	5	126	186	152		
94	Sheila M.S. Hein	budget and management specialist	  U.S. Army	S-75	0	612	95	732	121		
95	Ronald John Hemenway	electronics technician	  U.S. Navy	S-71	0	553	33	732	59		
96	Wallace Cole Hogan	 Jr.	U.S. Army	S-74	0	195	33	379	59		
97	Jimmie I. Holley	accountant	  U.S. Army	S-75	1	184	33	298	59		
98	LeRoy W. Homer	 Jr.	first officer	  United Airlines	S-67	0	141	64	290	90	
99	Angela M. Houtz	null	S-73	7	134	126	265	152			
100	Brady Kay Howell	null	S-73	1	302	126	441	152			
101	Peggie M. Hurt	accountant	  U.S. Army	S-75	0	282	126	396	152		
102	Stephen N. Hyland	 Jr.	personnel issues	  U.S. Army	S-74	0	369	157	533	183	
103	Robert J. Hymel	analyst	  Pentagon	S-71	0	404	157	522	183		
104	Lacey Bernard Ivory	null	S-74	0	424	33	578	59			
105	Bryan C. Jack	analyst	  Defense Department	S-70	0	645	157	748	183		
106	Steven D. Jacoby	chief operating officer	  Metrocall Inc.	S-70	0	706	64	759	90		
107	Dennis M. Johnson	U.S. Army	S-74	0	148	95	291	121			
108	Judith Lawter Jones	civilian employee	  U.S. Navy	S-73	0	200	157	352	183		
109	Ann C. Judge	travel officer manager	  National Geographic Society	S-70	0	7	126	108	152		
110	Brenda Kegler	null	S-1	0	403	126	514	152			
111	Chandler Raymond Keller	null	S-69	0	685	157	759	183			
112	Yvonne E. Kennedy	retiree	  Australian Red Cross	S-69	0	267	157	408	183		
113	Norma Cruz Khan	manager	  Plumbing-Heating-Cooling Contractors-National Association	S-71	0	247	64	385	90		
114	Karen Ann Kincaid	lawyer	  Wiley Rein & Fielding (Washington)	S-70	0	712	126	759	152		
115	Toshiya Kuge	student	S-68	0	0	157	103	183			
116	Michael S. Lamana	Aon Corp.	S-72	0	424	157	563	183			
117	David W. Laychak	null	S-1	0	28	33	164	59			
118	Dong Chul Lee	engineer	  Boeing Co.	S-70	0	252	64	368	90		
119	Jennifer Lewis	flight attendant	  American Airlines	S-69	1	208	64	314	90		
120	Kenneth E. Lewis	flight attendant	  American Airlines	S-69	1	158	95	283	121		
121	Stephen V. Long	null	S-73	0	633	64	758	90			
122	CeeCee Lyles	flight attendant	  United Airlines	S-67	0	6	126	102	152		
123	James T. Lynch	 Jr.	null	S-73	0	476	126	610	152		
124	Terence M. Lynch	null	S-75	1	23	95	155	121			
125	Nehamon Lyons IV	null	S-72	0	614	95	755	121			
126	Hilda Marcin	retired teacher's aide	S-67	0	648	126	752	152			
127	Shelley A. Marshall	analyst	  Defense Intelligence Agency	S-71	2	406	126	556	152		
128	Teresa M. Martin	civilian employee	  U.S. Army	S-75	0	202	157	331	183		
129	Waleska Martinez	automation specialist	  U.S. Census Bureau	S-67	1	473	64	610	90		
130	Ada L. Mason-Acker	civilian employee	  U.S. Army	S-1	0	392	64	543	90		
131	Dean E. Mattson	U.S. Army	S-74	0	213	64	342	90			
132	Timothy J. Maude	deputy chief of staff for personnel	  U.S. Army	S-74	0	15	33	147	59		
133	Robert J. Maxwell	civilian employee	  U.S. Army	S-1	0	602	157	739	183		
134	Renée A. May and her unborn child	null	S-69	0	5	157	260	183			
135	Molly L. McKenzie	civilian employee	  U.S. Army	S-75	0	376	157	515	183		
136	Dora Marie Menchaca	null	S-69	0	672	64	759	90			
137	Patricia E. Mickley	financial manager	  Defense Department	S-71	0	404	64	543	90		
138	Ronald D. Milam	executive assistant	  U.S. Army	S-73	0	595	33	724	59		
139	Nicole Carol Miller	student	  West Valley College	S-67	0	350	33	501	59		
140	Gerard P. Moran	 Jr.	engineering contractor	  U.S. Navy	S-73	1	218	95	371	121	
141	Odessa V. Morris	analyst	  U.S. Army	S-76	0	509	157	639	183		
142	Brian A. Moss	electronics technician	  U.S. Navy	S-71	0	715	95	759	121		
143	Teddington H. Moy	civilian employee	  U.S. Army	S-1	0	47	126	195	152		
144	Patrick Jude Murphy	U.S. Navy	S-73	1	300	64	454	90			
145	Louis J. Nacke II	distribution center director	  Kay-Bee Toys	S-68	0	424	33	543	59		
