Place	Latitude	Longitude	Company	
Prineville, OR	44.2998485	-120.8344664	Facebook	
Forest City, NC	35.3340108	-81.8651028	Facebook	
Los Lunas, NM	34.806166	-106.7333599	Facebook	
Altoona, IA	41.6435514	-93.4750836	Facebook	
Fort Worth, TX	32.7554883	-97.3307658	Facebook	
New Albany, OH	40.0812545	-82.8087418	Facebook	
Clonee, Ireland	53.4105621	-6.4426	Facebook	
Lulea, Sweden	65.584819	22.1567026	Facebook	
Odense, Denmark	55.403756	10.40237	Facebook	
Berkeley County, South Carolina (33°03′50.8″N 80°02′36.1″W) — since 2007, expanded in 2013, 150 employees	33.1260618	-80.0087746	Google	
Dulles, Virginia	38.9624899	-77.4380485	Google	
20254 Sycolin Rd Leesburg, VA 20175	39.0570917	-77.5500748	Google	
Council Bluffs, Iowa (41°13′17.7″N 95°51′49.92″W) — announced 2007, first phase completed 2009, expanded 2013 and 2014, 130 employees	41.2619444	-95.8608333	Google	
Texas 342 & East Ovilla Road Red Oak, TX 75154	32.5311958	-96.7916197	Google	
3800 Railport Pkwy Midlothian, TX 76065	32.442994	-97.048836	Google	
Douglas County, Georgia (33°44′59.04″N 84°35′5.33″W) — since 2003, 350 employees	33.7290225	-84.7315563	Google	
111 8th Ave New York, NY 10011	40.7414688	-74.0033873	Google	
Bridgeport, Jackson County, Alabama (34°54′48.4″N 85°44′53.1″W)[3][4]	34.9475807	-85.7144155	Google	
Lenoir, North Carolina (35°53′54.78″N 81°32′50.58″W) — announced 2007, completed 2009, over 110 employees	35.9140196	-81.5389849	Google	
Montgomery County, Tennessee (36°37′37.7″N 87°15′27.7″W) — announced 2015	36.4960406	-87.460397	Google	
Mayes County, Oklahoma at MidAmerica Industrial Park (36°14′28.1″N 95°19′48.22″W) — announced 2007, expanded 2012, over 400 employees[5]	36.2469729	-95.2891391	Google	
The Dalles, Oregon (45°37′57.04″N 121°12′8.16″W) — since 2006, 80 full-time employees	45.5945645	-121.1786823	Google	
Henderson, Nevada	36.0395247	-114.9817213	Google	
Quilicura, Chile	-33.3576747	-70.7292718	Google	
Saint-Ghislain, Belgium (50°28′09.6″N 3°51′55.7″E) — announced 2007, completed 2010, 12 employees	50.4491086	3.8183757	Google	
Hamina, Finland (60°32′11.68″N 27°7′1.21″E) — announced 2009, first phase completed 2011, expanded 2012, 90 employees	60.5693374	27.1878317	Google	
Dublin, Ireland (53°19′12.39″N 6°26′31.43″W) — announced 2011, completed 2012, 150 employees[9]	53.3498053	-6.2603097	Google	
Eemshaven, Netherlands (53.425659°N 6.8593522°E) — announced 2014, completed 2016, 200 employees	53.4385887	6.8354937	Google	
Fredericia, Denmark	55.5689298	9.749517	Google	
Jurong West, Singapore (1°21′04.8″N 103°42′35.2″E) — announced 2011, completed 2013	1.3403898	103.7089875	Google	
Changhua County, Taiwan (24°08′18.6″N 120°25′32.6″E) — announced 2011, completed 2013, 60 employees	24.0517963	120.5161352	Google	
Zurich, Switzerland	47.3768866	8.541694		
Mumbai, India	19.0759837	72.8776559	Google	
Chantilly, VA 	38.8942786	-77.4310992	Amazon	38.8978449, -77.453954
Seattle, WA	47.6062095	-122.3320708	Amazon	47.6473789, -122.3357795
San Francisco, CA	37.7749295	-122.4194155	Amazon	37.4958254, -122.16081229999998
Morrow County, OR	45.4514124	-119.6243921	Amazon	45.849906, -119.44
Dublin, Ireland	53.3498053	-6.2603097	Amazon	53.35, -6.31
Sidney, Australia	-33.8688197	151.2092955	Amazon	-33.9017762, 151
Hobro Landevej 8, 8830 Tjele, Denmark	56.483613	9.5701699	Apple	
39800 Eureka Dr, Newark, CA 94560	37.5101563	-122.0018693	Apple	
Kassø, Denmark	55.036837	9.233831	Apple	
Guian New Area China	26.422393	106.660828	Apple	
Prineville OR 97754	44.2998485	-120.8344664	Apple	
Hong Kong	22.3193039	114.1693611	Apple	
5977 Startown Road Maiden, NC 28650	35.5877572	-81.2569172	Apple	
Sparks NV 89434	39.5349112	-119.7526886	Apple	
Ulanqab Inner Mongolia, China	40.994785	113.132585	Apple	
3740 S Signal Butte Rd Mesa, AZ 85212	33.3468353	-111.6042155	Apple	
