Place,Details,Latitude,Longitude,Company,Size,
"Prineville, OR",,44.2998485,-120.8344664,Facebook,3200000,
"Forest City, NC",,35.3340108,-81.8651028,Facebook,740000,
"Los Lunas, NM",,34.806166,-106.7333599,Facebook,400000,
"Altoona, IA",,41.6435514,-93.4750836,Facebook,1400000,
"Fort Worth, TX",,32.7554883,-97.3307658,Facebook,440000,
"New Albany, OH",,40.0812545,-82.8087418,Facebook,970000,
"Sandston, VA",,37.5234001,-77.3158452,Facebook,970000,
"Eagle Mountain, UT",,40.3141169,-112.006882,Facebook,970000,
"Clonee, Ireland",,53.4105621,-6.4426,Facebook,,
"Lulea, Sweden",,65.584819,22.1567026,Facebook,,
"Odense, Denmark",,55.403756,10.40237,Facebook,,
"Berkeley County, South Carolina",,33.1260618,-80.0087746,Google,200000,
"20254 Sycolin Rd Leesburg, VA 20175",,39.0570917,-77.5500748,Google,,
"Council Bluffs, Iowa",,41.2619444,-95.8608333,Google,200000,
"Red Oak, TX",,32.5311958,-96.7916197,Google,,
"Douglas County, Georgia",,33.7290225,-84.7315563,Google,800000,
"111 8th Ave New York, NY 10011",,40.7414688,-74.0033873,Google,2900000,
"Bridgeport, Jackson County, Alabama",,34.9475807,-85.7144155,Google,,
"Lenoir, North Carolina",,35.9140196,-81.5389849,Google,337000,
"Montgomery County, Tennessee",,36.4960406,-87.460397,Google,,
"Mayes County, Oklahoma",,36.2469729,-95.2891391,Google,1400000,
"The Dalles, Oregon",,45.5945645,-121.1786823,Google,200000,
"Henderson, Nevada",,36.0395247,-114.9817213,Google,750000,
"Thornton, CO",,39.8680412,-104.9719243,Google,861113,
"Mesa County, AZ",,33.4151843,-111.8314724,Google,750000,
"Sterling, VA",Amazon 45305 Severn,39.0066993,-77.4291298,Amazon,,
"Chantilly, VA",Amazon IAD22,38.8942786,-77.4310992,Amazon,,
"Manassas, VA",Amazon IAD-73,38.7509488,-77.4752667,Amazon,140000,
"Manassas, VA",Amazon IAD11,38.7509488,-77.4752667,Amazon,200000,
"Manassas, VA",Amazon Bethlehem Technology Park DC20,38.7509488,-77.4752667,Amazon,215500,
"Sterling, VA",Amazon IAD10,39.0066993,-77.4291298,Amazon,,
"New Albany, OH",Amazon New Albany: Jug and Beach Road,40.0812545,-82.8087418,Amazon,,
"Manassas, VA",Amazon IAD-59,38.7509488,-77.4752667,Amazon,150000,
"Umatilla, OR",Amazon PDX2,45.9173549,-119.3425179,Amazon,,
"Manassas, VA",Amazon IAD-77,38.7509488,-77.4752667,Amazon,,
"South Riding, VA",Amazon IAD61,38.9120704,-77.4985673,Amazon,,
"Chantilly, VA",Amazon IAD1,38.8942786,-77.4310992,Amazon,120666,
"Jonestown, OH",Amazon New Albany,40.7714371,-84.5141216,Amazon,,
"Chantilly, VA",Amazon 25020 Willard Road,38.8942786,-77.4310992,Amazon,,
"Sterling, VA",Amazon IAD-69,39.0066993,-77.4291298,Amazon,,
"Herndon, VA",Amazon 13600 EDS Drive,38.9695545,-77.3860976,Amazon,,
"Ashburn, VA",Amazon IAD71,39.0437567,-77.4874416,Amazon,,
"Manassas, VA",Amazon IAD-52,38.7509488,-77.4752667,Amazon,,
"Sterling, VA",Amazon IAD-51,39.0066993,-77.4291298,Amazon,,
