Place,Details,Latitude,Longitude,Company,Size,,NativeLand
"Prineville, OR",,44.2998485,-120.8344664,Facebook,3200000,,Northern Paiute
"Forest City, NC",,35.3340108,-81.8651028,Facebook,740000,,Catawba
"Los Lunas, NM",,34.806166,-106.7333599,Facebook,400000,,South Tiwa
"Altoona, IA",,41.6435514,-93.4750836,Facebook,1400000,,Iowa
"Fort Worth, TX",,32.7554883,-97.3307658,Facebook,440000,,Wichita
"New Albany, OH",,40.0812545,-82.8087418,Facebook,970000,,Miami / Hopewell
"Sandston, VA",,37.5234001,-77.3158452,Facebook,970000,,Powhatan
"Eagle Mountain, UT",,40.3141169,-112.006882,Facebook,970000,,Ute
"Berkeley County, South Carolina",,33.1260618,-80.0087746,Google,200000,,Cusabo
"20254 Sycolin Rd Leesburg, VA 20175",,39.0570917,-77.5500748,Google,18000000,,Conoy
"Council Bluffs, Iowa",,41.2619444,-95.8608333,Google,200000,,Iowa
"Red Oak, TX",,32.5311958,-96.7916197,Google,200000,,Wichita
"Douglas County, Georgia",,33.7290225,-84.7315563,Google,800000,,Muskogee
"111 8th Ave New York, NY 10011",,40.7414688,-74.0033873,Google,2900000,,huluníixsuwaakan (Munsee)
"Bridgeport, Jackson County, Alabama",,34.9475807,-85.7144155,Google,,,Koasati
"Lenoir, North Carolina",,35.9140196,-81.5389849,Google,337000,,Catawba
"Montgomery County, Tennessee",,36.4960406,-87.460397,Google,,,Shawnee
"Mayes County, Oklahoma",,36.2469729,-95.2891391,Google,1400000,,Osage
"The Dalles, Oregon",,45.5945645,-121.1786823,Google,200000,,Upper Chinook
"Henderson, Nevada",,36.0395247,-114.9817213,Google,750000,,Chemeheuvi
"Thornton, CO",,39.8680412,-104.9719243,Google,861113,,Ute
"Mesa County, AZ",,33.4151843,-111.8314724,Google,750000,,Pima
"Sterling, VA",Amazon 45305 Severn,39.0066993,-77.4291298,Amazon,,,Conoy
"Chantilly, VA",Amazon IAD22,38.8942786,-77.4310992,Amazon,140000,,Conoy
"Manassas, VA",Amazon IAD-73,38.7509488,-77.4752667,Amazon,140000,,Conoy
"Manassas, VA",Amazon IAD11,38.7509488,-77.4752667,Amazon,200000,,Conoy
"Manassas, VA",Amazon Bethlehem Technology Park DC20,38.7509488,-77.4752667,Amazon,215500,,Conoy
"Sterling, VA",Amazon IAD10,39.0066993,-77.4291298,Amazon,140000,,Conoy
"New Albany, OH",Amazon New Albany: Jug and Beach Road,40.0812545,-82.8087418,Amazon,,,Miami / Hopewell
"Manassas, VA",Amazon IAD-59,38.7509488,-77.4752667,Amazon,150000,,Conoy
"Umatilla, OR",Amazon PDX2,45.9173549,-119.3425179,Amazon,,,Umatilla
"Manassas, VA",Amazon IAD-77,38.7509488,-77.4752667,Amazon,140000,,Conoy
"South Riding, VA",Amazon IAD61,38.9120704,-77.4985673,Amazon,140000,,Conoy
"Chantilly, VA",Amazon IAD1,38.8942786,-77.4310992,Amazon,120666,,Conoy
"Jonestown, OH",Amazon New Albany,40.7714371,-84.5141216,Amazon,,,Miami / Hopewell
"Chantilly, VA",Amazon 25020 Willard Road,38.8942786,-77.4310992,Amazon,,,Conoy
"Sterling, VA",Amazon IAD-69,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Herndon, VA",Amazon 13600 EDS Drive,38.9695545,-77.3860976,Amazon,,,Conoy
"Ashburn, VA",Amazon IAD71,39.0437567,-77.4874416,Amazon,140000,,Conoy
"Manassas, VA",Amazon IAD-52,38.7509488,-77.4752667,Amazon,140000,,Conoy
"Sterling, VA",Amazon IAD-51,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Sterling, VA",Amazon IAD-56,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Manassas, VA",Amazon Bethlehem Technology Park DC18,38.7509488,-77.4752667,Amazon,215500,,Conoy
"Sterling, VA",Amazon IAD12,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Ashburn, VA",Amazon IAD-67,39.0437567,-77.4874416,Amazon,140000,,Conoy
"Sterling, VA",Amazon IAD-57,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Plain City, OH",Amazon Dublin OH,40.1075615,-83.2674165,Amazon,310000,,Miami / Hopewell
"Ashburn, VA",Amazon 44854 Interconnection,39.0437567,-77.4874416,Amazon,350000,,Conoy
"Santa Clara, CA",Amazon 2305 Mission College Blvd,37.3541079,-121.9552356,Amazon,358000,,Ohlone
"Sterling, VA",Amazon IAD15,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Ashburn, VA",Amazon 44862 Interconnection Plaza,39.0437567,-77.4874416,Amazon,142000,,Conoy
"Haymarket, VA",Amazon 15505 John Marshall Hwy,38.8120591,-77.6363806,Amazon,,,Conoy
"Boardman, OR",Amazon PDX-50,45.839855,-119.7005834,Amazon,,,Umatilla
"Sterling, VA",Amazon IAD16,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Hilliard, OH",Amazon Hilliard: 5109 Hayden Run,40.0333961,-83.1582451,Amazon,,,Miami / Hopewell
"Ashburn, VA",Amazon 44858 Interconnection Plaza,39.0437567,-77.4874416,Amazon,150000,,Conoy
"Ashburn, VA",Amazon IAD-54,39.0437567,-77.4874416,Amazon,140000,,Conoy
"Manassas, VA",Amazon IAD14,38.7509488,-77.4752667,Amazon,140000,,Conoy
"Boardman, OR",AWS Port of Morrow 3,45.839855,-119.7005834,Amazon,,,Umatilla
"Boardman, OR",Amazon PDX4,45.839855,-119.7005834,Amazon,,,Umatilla
"Haymarket, VA",Amazon IAD-55,38.8120591,-77.6363806,Amazon,200000,,Conoy
"Sterling, VA",Amazon IAD32,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Sterling, VA",Amazon 45259 Severn,39.0066993,-77.4291298,Amazon,,,Conoy
"Ashburn, VA",Amazon IAD60,39.0437567,-77.4874416,Amazon,109997,,Conoy
"New Albany, OH",Amazon New Albany: Innovation Campus Way,40.0812545,-82.8087418,Amazon,170000,,Miami / Hopewell
"Manassas, VA",Amazon 7500 Bethlehem,38.7509488,-77.4752667,Amazon,,,Conoy
"Umatilla, OR",Amazon PDX-51,45.9173549,-119.3425179,Amazon,,,Umatilla
"Aldie, VA",Amazon 41992 John Mosby Highway,38.9756745,-77.6418724,Amazon,,,Conoy
"Sterling, VA",Amazon IAD76,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Ashburn, VA",Amazon IAD50,39.0437567,-77.4874416,Amazon,120666,,Conoy
"Chantilly, VA",Amazon IAD9,38.8942786,-77.4310992,Amazon,140000,,Conoy
"Sterling, VA",Amazon IAD-58,39.0066993,-77.4291298,Amazon,140000,,Conoy
"Manassas, VA",Amazon Bethlehem Technology Park DC19,38.7509488,-77.4752667,Amazon,,,Conoy
"Boardman, OR",Amazon PDX1,45.839855,-119.7005834,Amazon,,,Umatilla
"Manassas, VA",Amazon IAD-74,38.7509488,-77.4752667,Amazon,140000,,Conoy
"Manassas, VA",Amazon IAD7,38.7509488,-77.4752667,Amazon,140000,,Conoy
"Manassas, VA",Amazon IAD24,38.7509488,-77.4752667,Amazon,140000,,Conoy
"39800 Eureka Dr, Newark, CA 94560",,37.5101563,-122.0018693,Apple,107000,,Ohlone
Prineville OR 97754,,44.2998485,-120.8344664,Apple,3200000,,Northern Paiute
"5977 Startown Road Maiden, NC 28650",,35.5877572,-81.2569172,Apple,505000,,Catawba
Sparks NV 89434,,39.5349112,-119.7526886,Apple,372893,,Washoe
"Waukee, IA",,41.6119903,-93.8855768,Apple,1300000,,Iowa
"3740 S Signal Butte Rd Mesa, AZ 85212",,33.3468353,-111.6042155,Apple,1300000,,Pima
